"","sp","sample.type","sp.type.combo","mass.g","log.mass","length.mm","width.mm","height.mm","density.gcm3","toughness","log.toughness","specific.toughness","peak.force","log.peak.force","specific.peak.force","fruit.diaspore"
"128","elao","fruto","elaofruto",2.6743,0.427210124330789,19.9,15.3,13.5,1.24260537052921,0.5157076075,-0.287596462017947,-0.714806586348735,1225.831254,3.08843069000247,2.66122056567168,"fruit"
"129","entm","diaspora","entmdiaspora",38.6931,1.58763352576572,57.4,57.1,21,1.07366206336791,20.004595735,1.30112977931748,-0.286503746448241,11488.49051,4.06026296983334,2.47262944406762,"diaspore"
"130","entm","diaspora","entmdiaspora",37.3622,1.57243244089129,55.7,54.5,21.6,1.08824923360511,15.19116725,1.18159114520959,-0.390841295681708,9502.643878,3.9778444539077,2.40541201301641,"diaspore"
"131","entm","diaspora","entmdiaspora",29.4343,1.46885371197587,53,50,21.5,0.986667347036372,12.5769221625,1.09957437311347,-0.3692793388624,8742.628501,3.94164202438021,2.47278831240434,"diaspore"
"132","entm","diaspora","entmdiaspora",31.6451,1.50030647240366,58.4,50.8,20.1,1.01352679146281,16.95959572,1.22941549540502,-0.270890976998641,10654.92526,4.02755040766041,2.52724393525675,"diaspore"
"133","entm","diaspora","entmdiaspora",39.5637,1.59729690007485,58.2,56.4,20.8,1.10670750270049,11.0945111775,1.04510817203976,-0.552188728035089,7806.093423,3.89243374459455,2.2951368445197,"diaspore"
"134","entm","diaspora","entmdiaspora",42.7195,1.63062616095609,61.2,55.8,22.8,1.04786918848309,13.1271776475,1.11817136250426,-0.512454798451827,9051.537976,3.95672237785067,2.32609621689458,"diaspore"
"135","entm","diaspora","entmdiaspora",32.3054,1.50927512277031,58.3,55.6,18.4,1.03446387987041,17.1920448475,1.23532753539383,-0.273947587376483,11356.10073,4.05522923611598,2.54595411334567,"diaspore"
"136","entm","diaspora","entmdiaspora",35.2153,1.5467313925094,56,52.8,20.7,1.09885521901155,27.743824875,1.44316633444443,-0.103565058064968,12591.73864,4.10008570068972,2.55335430818032,"diaspore"
"139","ents","diaspora","entsdiaspora",0.0512,-1.29073003902417,7.1,3.8,2.1,1.72587802315049,0.03704747975,-1.43124133067781,-0.140511291653636,186.3263505,2.27027427769551,3.56100431671968,"diaspore"
"140","ents","diaspora","entsdiaspora",0.0541,-1.26680273489343,6.7,3.8,2.2,1.84466523343674,0.13478792625,-0.870349008378164,0.396453726515266,309.8901409,2.49120775945697,3.75801049435041,"diaspore"
"141","ents","diaspora","entsdiaspora",0.065,-1.18708664335714,7.4,4.2,2.3,1.73662435806164,0.182921932,-0.737734220299731,0.449352423057414,322.1484534,2.50805605068638,3.69514269404352,"diaspore"
